indicativo,nombre,altitud,provincia,num_records,avg_tmin,avg_tmax,avg_prec,avg_velmedia,std_tmed,longest_gap_days
9491X,ALMUDÉVAR,390,HUESCA,4002,8.51955756661639,21.14249121044701,1.1596932361076189,3.297195793690536,7.300034088416737,9
9495Y,LECIÑENA,405,ZARAGOZA,4003,8.235672955974842,22.058456527186166,0.9749749247743229,2.7671518193224593,7.580025527575931,10
9501X,VALMADRID,535,ZARAGOZA,3982,9.384320645323923,21.028535417191833,1.0400454201362606,4.31976861167002,7.113711207016457,6
9510X,QUINTO,205,ZARAGOZA,3996,10.157874905802561,22.863796133567664,0.7855050505050506,3.3608575727181544,7.754798085877026,13
9513X,MUNIESA,800,TERUEL,4010,8.344616537596803,19.732500624531603,1.0592294132460336,3.2885421867199205,7.010170013775772,8
9531Y,MONTALBÁN,895,TERUEL,4011,6.947627372627372,20.055894105894104,1.2993498374593648,1.448886664998749,7.166852720176024,6
9546B,HIJAR,305,TERUEL,4006,10.698672012027059,23.291731395640188,0.8561465127947817,2.5628999999999995,7.520767640312907,6
9550C,"ANDORRA, HORCALLANA",762,TERUEL,3991,9.44877802973041,19.495448830776965,0.9232070707070708,5.304828973843058,7.109702614460761,5
9561X,CASTELLOTE,755,TERUEL,3981,10.023178471693324,20.878116273165777,1.206343567622431,2.6395939086294415,6.994308567311055,12
9562X,MORELLA,990,CASTELLON,3507,8.97561534058386,18.21691471093303,1.6596681922196799,3.533257142857143,6.853777053456507,20
9563X,CASTELLFORT,1220,CASTELLON,3987,8.004994929006084,16.1322261663286,1.5367045154475838,,6.755690817585872,10
9569A,CALANDA,466,TERUEL,3998,10.579253319969933,21.968654472563266,0.8666331910620136,3.06106987458408,7.392767522440647,5
9574B,"CASPE, PLANA DEL PILÓN",215,ZARAGOZA,2753,11.460080058224165,22.881804949053855,0.8739736070381231,4.614061930783242,7.716558181621078,4
9585,LA MOLINA,1699,GIRONA,3982,3.3885208596713023,13.408394437420986,2.494326603628929,2.2055958549222794,6.658456984709251,7
9590,MARTINET,1038,LLEIDA,4005,3.3556698444555946,19.914174611138986,1.7882582660765427,1.7049962528103924,7.072757579639503,13
9590D,CAP DE REC,1940,LLEIDA,2594,2.2684210526315787,11.504412546517809,,1.5735256682223167,6.339761440187328,33
9632X,TUIXENT,1196,LLEIDA,3960,4.609770559422532,17.576798143851505,2.501290322580645,1.600965201930404,6.490520103803818,13
9638D,COLL DE NARGÓ,609,LLEIDA,3982,6.7308752232712425,21.460321510589438,1.8534047436878345,3.7136134876698543,7.364520021766209,35
9647X,TORÀ,435,LLEIDA,4009,6.401128385155467,21.046765295887663,1.1428033157498116,,7.822441408163605,10
9650X,ARTESA DE SEGRE,400,LLEIDA,4018,7.576709935097354,21.34478282576136,1.0841506572295248,,8.078186670064177,3
9657X,ESTERRI D'ÀNEU,952,LLEIDA,3827,3.4826127239036446,17.7395923409512,1.6588193708024035,1.3225645076355979,6.473017547849899,174
9677,PORT AINÉ,2410,LLEIDA,2079,0.5532644178454843,6.272361262241566,,5.219701646090535,6.911483649044119,15
9689X,TORRE DE CABDELLA,1273,LLEIDA,3977,5.473716164938021,16.69150012648621,3.2911152614727857,,6.3923306026525015,5
